latitude,longitude,radius,addition_date,geohash
3.7,98.65,1,20/08/2021,
-3.25,105.31,10,20/08/2021,
-3.42,105.56,15,20/08/2021,
-3.48,105.42,15,20/08/2021,
-6.45,106.83,0.5,20/08/2021,
-6.4513168,106.8256711,0.01,20/08/2021,
6.444511801,106.8286999,0.1,20/08/2021,
-0.35,111.75,1.11,19/11/2022,
-7.39,107.15,1.11,19/11/2022,
-7.06,108.45,1.11,19/11/2022,
-7.12,109.48,1.11,19/11/2022,
-7.45,109.2,1.11,19/11/2022,
-8.35,114.59,1.11,19/11/2022,
-4.77,122.04,1.11,19/11/2022,
-8.31,113.61,1.11,19/11/2022,
-6.99,108.55,1.11,19/11/2022,
-5.29,104.01,1.11,19/11/2022,
-7.21,110.03,1.11,19/11/2022,
-7.79,112.19,1.11,19/11/2022,
-6.89,108.29,1.11,19/11/2022,
0.25,109.1,1.11,19/11/2022,
-0.89,100.42,1.11,19/11/2022,
-6.7,107.69,1.11,19/11/2022,
-6.22,106.18,1.11,19/11/2022,
0.36,101.05,1.11,19/11/2022,
0.55,111.96,1.11,19/11/2022,
-1.58,100.65,1.11,19/11/2022,
-7.61,111.92,1.11,19/11/2022,
-7,108.66,1.11,19/11/2022,
-7.4,108.35,1.11,19/11/2022,
-3.44,114.67,1.11,19/11/2022,
-6.24,106.25,1.11,19/11/2022,
-7.45,110.24,1.11,19/11/2022,
-7,110.12,1.11,19/11/2022,
-7.21,111.96,1.11,19/11/2022,
-3.42,114.79,1.11,19/11/2022,
-7.68,110.57,1.11,19/11/2022,
-7.1,107.78,1.11,19/11/2022,
0.47,121.23,1.11,19/11/2022,
-4.95,120.12,1.11,19/11/2022,
-7.67,108.22,1.11,19/11/2022,
-5.38,105.01,1.11,19/11/2022,
3.34,99.21,1.11,19/11/2022,
-3.16,114.51,1.11,19/11/2022,
-7.19,108.8,1.11,19/11/2022,
-4.93,105.2,1.11,19/11/2022,
-7.25,110.15,1.11,19/11/2022,
-7.78,110.61,1.11,19/11/2022,
-7.33,108.43,1.11,19/11/2022,
-4.87,104.57,1.11,19/11/2022,
-7.36,109.2,1.11,19/11/2022,
-2.97,104.57,1.11,19/11/2022,
-5.64,132.74,1.11,19/11/2022,
-6.15,106.35,1.11,19/11/2022,
-7.96,111.97,1.11,19/11/2022,
-0.02,116.36,1.11,19/11/2022,
-6.81,106.75,1.11,19/11/2022,
-6.37,107.59,1.11,19/11/2022,
-3.4,114.75,1.11,19/11/2022,
-7.32,110.37,1.11,19/11/2022,
-1.03,100.39,1.11,19/11/2022,
-8.34,114.62,1.11,19/11/2022,
-6.82,110.9,1.11,19/11/2022,
-7.27,109.95,1.11,19/11/2022,
-2.46,115.1,1.11,19/11/2022,
-8.45,114.33,1.11,19/11/2022,
-7.43,112.45,1.11,19/11/2022,
-0.17,115.75,1.11,19/11/2022,
-2.6,115.38,1.11,19/11/2022,
-7.01,107.97,1.11,19/11/2022,
-7.41,110.23,1.11,19/11/2022,
-7.28,110.51,1.11,19/11/2022,
-6.78,110.71,1.11,19/11/2022,
-7.79,112.18,1.11,19/11/2022,
-7.03,107.31,1.11,19/11/2022,
-3.87,122.05,1.11,19/11/2022,
-6.98,108.42,1.11,19/11/2022,
-7.8,110.68,1.11,19/11/2022,
-7.71,109.43,1.11,19/11/2022,
-7.46,110.31,1.11,19/11/2022,
-8.22,111.05,1.11,19/11/2022,
-7.5,108.62,1.11,19/11/2022,
-5.56,120.15,1.11,19/11/2022,
-7.04,107.22,1.11,19/11/2022,
-7.75,110.18,1.11,19/11/2022,
-2.17,113.85,1.11,19/11/2022,
-7.1,109.93,1.11,19/11/2022,
-7.07,110.57,1.11,19/11/2022,
-7.34,107.95,1.11,19/11/2022,
-8.24,112.64,1.11,19/11/2022,
-6.06,107.14,1.11,19/11/2022,
-6.54,107.23,1.11,19/11/2022,
-6.29,107.75,1.11,19/11/2022,
-7.8,113.38,1.11,19/11/2022,
-0.31,103.14,1.11,19/11/2022,
-6.51,106.19,1.11,19/11/2022,
1.65,101.38,1.11,19/11/2022,
-2.15,115.41,1.11,19/11/2022,
-6.8,105.94,1.11,19/11/2022,
-6.82,108.54,1.11,19/11/2022,
-7.3,109.3,1.11,19/11/2022,
-7.56,111.46,1.11,19/11/2022,
-6.95,112.56,1.11,19/11/2022,
-6.83,108.7,1.11,19/11/2022,
-7.65,111.28,1.11,19/11/2022,
-6.95,112.55,1.11,19/11/2022,
-4.03,122.48,1.11,19/11/2022,
-1.03,101.68,1.11,19/11/2022,
-6.99,113.86,1.11,19/11/2022,
-7,106.69,1.11,19/11/2022,
-0.31,100.42,1.11,19/11/2022,
-8.05,112.65,1.11,19/11/2022,
-8.22,111.1,1.11,19/11/2022,
-3.27,104.69,1.11,19/11/2022,
-7.49,111.32,1.11,19/11/2022,
-1.06,113.73,1.11,19/11/2022,
-2.87,104.66,1.11,19/11/2022,
-8.16,112.3,1.11,19/11/2022,
-7.42,108.21,1.11,19/11/2022,
-5.61,105.52,1.11,19/11/2022,
-7.42,108.61,1.11,19/11/2022,
1.49,99.06,1.11,19/11/2022,
